Month,State,City,Sessions,New users,Users,Transactions,Transaction revenue
2019|01,(not set),(not set),126,77,99,5,$742.76
2019|01,Australian Capital Territory,(not set),99,11,44,11,"$3,879.07"
2019|01,Australian Capital Territory,Canberra,"31,641","9,407","16,064",864,"$114,683.05"
2019|01,Jervis Bay Territory,(not set),5,5,5,0,$0.00
2019|01,New South Wales,(not set),"9,812","2,647","5,475",268,"$27,453.19"
2019|01,New South Wales,Albury,"1,099",334,667,44,"$4,227.47"
2019|01,New South Wales,Armidale,804,169,399,27,"$4,831.74"
2019|01,New South Wales,Ballina,252,49,142,11,$694.73
2019|01,New South Wales,Batemans Bay,208,49,104,5,$49.17
2019|01,New South Wales,Bathurst,602,148,295,33,"$2,136.38"
2019|01,New South Wales,Bowral,131,33,77,0,$0.00
2019|01,New South Wales,Broken Hill,109,27,71,0,$0.00
2019|01,New South Wales,Byron Bay,705,252,481,16,"$1,876.20"
2019|01,New South Wales,Casino,33,11,27,0,$0.00
2019|01,New South Wales,Central Coast,"15,539","4,485","9,134",410,"$57,367.97"
2019|01,New South Wales,Cessnock,367,137,224,11,"$1,135.03"
2019|01,New South Wales,Coffs Harbour,"2,089",667,"1,247",38,"$4,919.96"
2019|01,New South Wales,Dubbo,"1,619",470,903,44,"$6,785.60"
2019|01,New South Wales,Forbes,131,22,66,5,$367.93
2019|01,New South Wales,Goulburn,16,5,11,0,$0.00
2019|01,New South Wales,Grafton,137,44,104,0,$0.00
2019|01,New South Wales,Griffith,295,82,186,5,$502.86
2019|01,New South Wales,Katoomba,120,44,77,16,"$1,109.26"
2019|01,New South Wales,Kempsey,137,44,99,5,"$5,628.10"
2019|01,New South Wales,Kiama,388,137,235,16,"$2,657.18"
2019|01,New South Wales,Lismore,372,109,241,5,$337.90
2019|01,New South Wales,Lithgow,16,5,11,0,$0.00
2019|01,New South Wales,Maitland,109,22,71,5,$300.27
2019|01,New South Wales,Mudgee,383,115,219,33,"$1,606.44"
2019|01,New South Wales,Muswellbrook,153,77,137,5,$951.42
2019|01,New South Wales,Newcastle,"12,394","3,626","6,864",356,"$32,013.15"
2019|01,New South Wales,Nowra,164,38,60,16,"$3,025.22"
2019|01,New South Wales,Orange,"1,203",306,705,22,"$4,511.34"
2019|01,New South Wales,Parkes,164,33,66,0,$0.00
2019|01,New South Wales,Port Macquarie,"1,799",492,"1,160",99,"$9,811.16"
2019|01,New South Wales,Queanbeyan,421,131,263,11,"$3,050.88"
2019|01,New South Wales,Raymond Terrace,268,49,148,16,"$2,723.15"
2019|01,New South Wales,Richmond,44,16,27,5,$322.70
2019|01,New South Wales,Singleton,153,55,115,0,$0.00
2019|01,New South Wales,Sydney,"772,422","275,274","394,175","17,705","$2,128,414.99"
2019|01,New South Wales,Tamworth,957,252,531,22,"$2,783.58"
2019|01,New South Wales,Taree,640,115,301,16,"$1,617.22"
2019|01,New South Wales,Wagga Wagga,"1,515",345,892,27,"$2,909.11"
2019|01,New South Wales,Wollongong,"10,633","2,718","5,716",235,"$29,971.39"
2019|01,Northern Territory,(not set),71,22,60,0,$0.00
2019|01,Northern Territory,Alice Springs,465,131,230,0,$0.00
2019|01,Northern Territory,Darwin,"3,588",990,"1,996",66,"$4,279.92"
2019|01,Queensland,(not set),"2,844",727,"1,575",55,"$8,307.21"
2019|01,Queensland,Bongaree,55,33,38,5,$130.23
2019|01,Queensland,Brisbane,"267,715","76,409","127,220","6,361","$744,167.72"
2019|01,Queensland,Buderim,88,27,49,5,$687.73
2019|01,Queensland,Bundaberg,744,263,459,27,"$5,491.74"
2019|01,Queensland,Cairns,"9,555","2,839","5,103",186,"$20,985.58"
2019|01,Queensland,Dalby,126,33,77,0,$0.00
2019|01,Queensland,Emerald,137,27,82,0,$0.00
2019|01,Queensland,Gladstone,416,126,273,0,$0.00
2019|01,Queensland,Gold Coast,"30,290","8,915","17,426",749,"$77,053.78"
2019|01,Queensland,Gympie,306,88,202,5,$564.83
2019|01,Queensland,Hervey Bay,476,197,367,11,$956.07
2019|01,Queensland,Kingaroy,49,11,22,0,$0.00
2019|01,Queensland,Mackay,"3,036",903,"1,739",82,"$6,867.21"
2019|01,Queensland,Maroochydore,16,11,11,0,$0.00
2019|01,Queensland,Maryborough,268,66,148,0,$0.00
2019|01,Queensland,Mount Isa,191,60,104,5,$54.64
2019|01,Queensland,Nambour,60,11,27,5,$333.31
2019|01,Queensland,Nerang,77,33,44,0,$0.00
2019|01,Queensland,Redcliffe,11,5,11,0,$0.00
2019|01,Queensland,Rockhampton,645,208,427,11,$945.84
2019|01,Queensland,Sunshine Coast,"12,503","3,829","7,170",252,"$29,695.07"
2019|01,Queensland,Toowoomba,"6,230","1,745","3,336",142,"$17,163.67"
2019|01,Queensland,Townsville,"3,189",924,"1,887",66,"$9,640.62"
2019|01,Queensland,Warwick,126,38,77,5,$519.22
2019|01,South Australia,(not set),"1,613",410,848,44,"$3,275.51"
2019|01,South Australia,Adelaide,"144,591","37,581","63,512","3,637","$432,735.05"
2019|01,South Australia,Gawler,126,44,71,0,$0.00
2019|01,South Australia,Mount Gambier,481,109,175,0,$0.00
2019|01,South Australia,Murray Bridge,148,60,126,0,$0.00
2019|01,South Australia,Port Lincoln,55,5,22,11,$480.38
2019|01,South Australia,Port Pirie,38,27,33,5,"$1,088.43"
2019|01,South Australia,Victor Harbor - Goolwa,208,66,126,5,$902.19
2019|01,South Australia,Whyalla,235,38,115,5,$705.02
2019|01,Tasmania,(not set),"1,892",427,"1,017",27,"$3,728.49"
2019|01,Tasmania,Burnie - Somerset,990,164,443,16,$464.41
2019|01,Tasmania,Devonport,"1,925",481,"1,001",71,"$6,127.13"
2019|01,Tasmania,Hobart,"17,683","4,332","8,489",476,"$51,230.61"
2019|01,Tasmania,Kingston,77,22,27,0,$0.00
2019|01,Tasmania,Launceston,"9,424","1,980","4,408",252,"$33,048.63"
2019|01,Tasmania,Ulverstone,235,60,169,0,$0.00
2019|01,Victoria,(not set),"6,410","1,581","3,539",180,"$23,628.65"
2019|01,Victoria,Bacchus Marsh,367,60,159,16,"$3,514.31"
2019|01,Victoria,Bairnsdale,186,49,115,11,$886.06
2019|01,Victoria,Ballarat,"3,304",788,"1,608",49,"$6,010.36"
2019|01,Victoria,Barwon Downs,44,22,33,11,"$5,364.69"
2019|01,Victoria,Bendigo,"2,324",656,"1,241",38,"$3,092.06"
2019|01,Victoria,Colac,317,49,109,5,$752.49
2019|01,Victoria,Craigieburn,11,11,11,0,$0.00
2019|01,Victoria,Cranbourne,137,16,44,5,$869.65
2019|01,Victoria,Drouin,487,104,257,5,$247.06
2019|01,Victoria,Echuca,383,77,164,5,$505.05
2019|01,Victoria,Geelong,"8,325","2,248","4,452",252,"$27,481.57"
2019|01,Victoria,Hamilton,66,27,60,0,$0.00
2019|01,Victoria,Horsham,33,11,16,0,$0.00
2019|01,Victoria,Melbourne,"614,693","161,104","271,893","15,167","$1,726,760.04"
2019|01,Victoria,Melton,16,5,16,0,$0.00
2019|01,Victoria,Mildura,"1,006",197,405,11,"$2,034.26"
2019|01,Victoria,Moe - Newborough,312,120,208,16,"$1,508.37"
2019|01,Victoria,Morwell,356,77,164,11,"$3,044.81"
2019|01,Victoria,Mount Martha,22,11,16,0,$0.00
2019|01,Victoria,Pakenham,"2,505",547,"1,231",55,"$4,224.41"
2019|01,Victoria,Portland,126,44,77,0,$0.00
2019|01,Victoria,Sale,454,159,268,22,"$10,992.51"
2019|01,Victoria,Shepparton - Mooroopna,"2,040",476,968,44,"$5,196.61"
2019|01,Victoria,Sunbury,"1,099",301,711,27,"$3,666.14"
2019|01,Victoria,Swan Hill,164,38,88,0,$0.00
2019|01,Victoria,Traralgon,618,164,410,27,"$4,781.48"
2019|01,Victoria,Wangaratta,241,60,148,5,"$2,253.43"
2019|01,Victoria,Warragul,908,257,443,5,"$2,276.12"
2019|01,Victoria,Warrnambool,716,263,459,33,"$4,776.44"
2019|01,Victoria,Wodonga,919,273,525,11,"$1,109.37"
2019|01,Western Australia,(not set),"2,264",580,"1,269",66,"$8,466.05"
2019|01,Western Australia,Albany,104,44,71,0,$0.00
2019|01,Western Australia,Bunbury,"1,001",252,487,38,"$5,603.48"
2019|01,Western Australia,Busselton,301,93,159,22,"$3,736.86"
2019|01,Western Australia,Geraldton,383,148,252,5,"$1,230.63"
2019|01,Western Australia,Kalgoorlie - Boulder,82,44,77,0,$0.00
2019|01,Western Australia,Mandurah,"2,046",716,"1,274",60,"$8,193.99"
2019|01,Western Australia,Perth,"148,956","43,340","70,075","3,320","$400,562.85"
2019|01,Western Australia,Rockingham,11,0,5,5,$452.00
2019|02,(not set),(not set),126,102,126,0,$0.00
2019|02,Australian Capital Territory,(not set),73,44,73,0,$0.00
2019|02,Australian Capital Territory,Canberra,"29,529","8,275","15,046",863,"$98,039.79"
2019|02,New South Wales,(not set),"9,167","2,508","5,083",364,"$37,677.76"
